id_str,from_user,created_at,time,user_lang,,,,,,
9.40282273877975E+017,Nicki_SarkCess,Mon Dec 11 18:08:58 +0000 2017,11/12/2017 18:08:58,en,,,,,,
9.40282268240765E+017,Pakito_Morisco,Mon Dec 11 18:08:57 +0000 2017,11/12/2017 18:08:57,es,,,,,,
9.40282263799058E+017,blackmount,Mon Dec 11 18:08:55 +0000 2017,11/12/2017 18:08:55,tr,,,,,,
9.4028224842274E+017,LUCABATTISTI75,Mon Dec 11 18:08:52 +0000 2017,11/12/2017 18:08:52,it,,,,,,
9.40282247520932E+017,hatice_1011,Mon Dec 11 18:08:52 +0000 2017,11/12/2017 18:08:52,tr,,,,,,
9.4028224240384E+017,Axxxvii,Mon Dec 11 18:08:50 +0000 2017,11/12/2017 18:08:50,fr,,,,,,
9.40282241472696E+017,smgm05,Mon Dec 11 18:08:50 +0000 2017,11/12/2017 18:08:50,es,,,,,,
9.40282240973623E+017,tugaydumelli,Mon Dec 11 18:08:50 +0000 2017,11/12/2017 18:08:50,tr,,,,,,
9.40282240520675E+017,onrpkmzc,Mon Dec 11 18:08:50 +0000 2017,11/12/2017 18:08:50,tr,,,,,,
9.40282234027827E+017,DanVille_hgo,Mon Dec 11 18:08:48 +0000 2017,11/12/2017 18:08:48,es,,,,,,
9.40282233939747E+017,GokselDincer,Mon Dec 11 18:08:48 +0000 2017,11/12/2017 18:08:48,tr,,,,,,
9.40282233583296E+017,yusufsen80,Mon Dec 11 18:08:48 +0000 2017,11/12/2017 18:08:48,tr,,,,,,
9.40282233096679E+017,SamsunggbcAs,Mon Dec 11 18:08:48 +0000 2017,11/12/2017 18:08:48,tr,,,,,,
9.40282231607693E+017,cervantesjoseg1,Mon Dec 11 18:08:48 +0000 2017,11/12/2017 18:08:48,es,,,,,,
9.40282231075074E+017,Nicki_SarkCess,Mon Dec 11 18:08:48 +0000 2017,11/12/2017 18:08:48,en,,,,,,
9.40282226914316E+017,Arda_B_Ulutas,Mon Dec 11 18:08:47 +0000 2017,11/12/2017 18:08:47,tr,,,,,,
9.40282224372519E+017,burakgurhan21,Mon Dec 11 18:08:46 +0000 2017,11/12/2017 18:08:46,tr,,,,,,
9.40282221415621E+017,xmorgendorffer,Mon Dec 11 18:08:45 +0000 2017,11/12/2017 18:08:45,es,,,,,,
9.40282216361447E+017,Nicki_SarkCess,Mon Dec 11 18:08:44 +0000 2017,11/12/2017 18:08:44,en,,,,,,
9.40282210787176E+017,5Rafaelborges,Mon Dec 11 18:08:43 +0000 2017,11/12/2017 18:08:43,pt,,,,,,
9.40282208811733E+017,ToniPelosato,Mon Dec 11 18:08:42 +0000 2017,11/12/2017 18:08:42,fr,,,,,,
9.40282205556928E+017,andrefcpereira,Mon Dec 11 18:08:42 +0000 2017,11/12/2017 18:08:42,pt,,,,,,
9.40282204332216E+017,birazinsanolsak,Mon Dec 11 18:08:41 +0000 2017,11/12/2017 18:08:41,tr,,,,,,
9.40282203371725E+017,RetweetPatronu,Mon Dec 11 18:08:41 +0000 2017,11/12/2017 18:08:41,tr,,,,,,
9.40282198875402E+017,LazCab,Mon Dec 11 18:08:40 +0000 2017,11/12/2017 18:08:40,en,,,,,,
9.40282183654216E+017,FutbolFutbol433,Mon Dec 11 18:08:36 +0000 2017,11/12/2017 18:08:36,es,,,,,,
9.40282179405435E+017,Blesk_one,Mon Dec 11 18:08:35 +0000 2017,11/12/2017 18:08:35,fr,,,,,,
9.40282177119453E+017,Official_Maina,Mon Dec 11 18:08:35 +0000 2017,11/12/2017 18:08:35,en,,,,,,
9.40282171654312E+017,claudiusum,Mon Dec 11 18:08:33 +0000 2017,11/12/2017 18:08:33,tr,,,,,,
9.4028217022412E+017,ulasdev,Mon Dec 11 18:08:33 +0000 2017,11/12/2017 18:08:33,tr,,,,,,
9.40282166369452E+017,AOgundipe,Mon Dec 11 18:08:32 +0000 2017,11/12/2017 18:08:32,en,,,,,,
9.40282161256714E+017,LcsHnv,Mon Dec 11 18:08:31 +0000 2017,11/12/2017 18:08:31,fr,,,,,,
9.40282156026355E+017,ZonaFinal,Mon Dec 11 18:08:30 +0000 2017,11/12/2017 18:08:30,es,,,,,,
9.40282133981122E+017,MaNaLoOoV,Mon Dec 11 18:08:24 +0000 2017,11/12/2017 18:08:24,en,,,,,,
9.4028212877183E+017,UEFAcom_fr,Mon Dec 11 18:08:23 +0000 2017,11/12/2017 18:08:23,fr,,,,,,
9.40282120685179E+017,andrefcpereira,Mon Dec 11 18:08:21 +0000 2017,11/12/2017 18:08:21,pt,,,,,,
9.40282116125987E+017,JereGonzalezU,Mon Dec 11 18:08:20 +0000 2017,11/12/2017 18:08:20,es,,,,,,
9.40282113542123E+017,alperenkaykac,Mon Dec 11 18:08:20 +0000 2017,11/12/2017 18:08:20,tr,,,,,,
9.40282110862152E+017,Abcd41648854,Mon Dec 11 18:08:19 +0000 2017,11/12/2017 18:08:19,tr,,,,,,
9.40282108974633E+017,gabrielselva_cr,Mon Dec 11 18:08:19 +0000 2017,11/12/2017 18:08:19,es,,,,,,
9.40282099445256E+017,JereGonzalezU,Mon Dec 11 18:08:16 +0000 2017,11/12/2017 18:08:16,es,,,,,,
9.40282098425958E+017,Nicki_SarkCess,Mon Dec 11 18:08:16 +0000 2017,11/12/2017 18:08:16,en,,,,,,
9.40282097331208E+017,edy_sifuentes,Mon Dec 11 18:08:16 +0000 2017,11/12/2017 18:08:16,es,,,,,,
